timestamp,tag,x,y,z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
1551531095,0x6e36,-1910,8299,4675,100390500,386,-97,-878,-492,-16,403,-13,31,-71,4629,401,2787,2464,9237,-13032,2683,-29,-8,4,415,-89,-883,42
1551531095,0x6e58,-555,4962,4836,100456500,391,-215,-879,-1521,2198,2001,-3,7,-1,5007,375,2643,2292,6348,-14594,3148,2,11,-1,390,-229,-869,37
1551531095,0x6737,-666,5447,323,100393500,743,340,-564,-305,-542,508,2,2,3,3344,784,-2381,1924,14271,2433,7426,1,4,-14,740,332,-550,45
1551531095,0x6724,-3044,10540,142,100301000,813,475,-192,-441,-104,368,-63,35,-22,2452,909,-1793,2386,-9070,-8920,-10045,-10,-18,3,821,496,-201,44
1551531095,0x6726,-922,5187,4606,100320500,-917,114,-330,356,230,-1516,0,2,-1,3719,-1112,-2582,-4186,11210,-7285,-8496,-2,4,-13,-918,109,-325,39
1551531096,0x6734,-3143,7174,-206,100382500,-364,349,-848,-179,-736,691,1,-18,-3,3870,-343,-2523,-971,-13551,8132,4209,-8,2,-6,-359,346,-844,46
1551531096,0x6750,-1046,9670,4658,100616000,403,-625,-632,1673,-459,619,467,429,-1682,3819,477,2238,-3296,-3201,14594,-5859,-85,-77,18,488,-547,-650,41
1551531096,0x6735,-373,5012,106,100415000,-145,33,977,305,486,-272,1,-1,1,4823,-151,-38,-14243,366,-1343,-7978,17,-8,-1,-161,40,966,43
1551531097,0x6737,-721,5481,345,100391750,742,338,-560,-312,-555,515,-2,3,-1,3344,784,-2381,1924,14271,2433,7426,0,5,-9,740,332,-550,45
1551531097,0x6e36,-2045,8163,621,100389750,375,-22,-890,-440,-145,459,180,-43,-178,4290,379,2875,2320,11521,-11151,2446,-18,-18,6,394,-4,-897,42
1551531097,0x6e58,-645,5104,4956,100450750,392,-217,-867,-1532,2193,1980,1,-6,1,5007,375,2643,2292,6348,-14594,3148,2,11,2,390,-229,-869,37
1551531098,0x6737,-672,5450,311,100389500,742,337,-558,-318,-603,494,-2,-2,0,3344,784,-2381,1924,14271,2433,7426,0,4,-7,740,332,-550,45
1551531098,0x6724,-3257,9759,5050,100297000,824,466,-166,-448,-115,332,36,25,-2,2485,913,-1751,2237,-9098,-8703,-10243,4,-31,15,823,502,-177,44
1551531098,0x6726,-906,5067,4556,100323500,-922,115,-336,363,248,-1510,0,-5,-1,3719,-1112,-2582,-4186,11210,-7285,-8496,-3,4,-6,-918,109,-325,39
1551531099,0x6734,-2921,7158,-78,100382000,-365,352,-851,-185,-740,747,9,-5,-1,3871,-344,-2521,-974,-13545,8136,4223,-7,3,-5,-359,347,-843,46
1551531099,0x6750,-1046,9670,4658,100628750,872,57,-528,123,364,1024,-289,261,-121,5309,876,2813,-7321,-2810,14268,-1835,42,130,9,800,-40,-564,41
1551531099,0x6735,-350,5091,28,100415500,-144,31,973,305,497,-252,-1,0,0,4823,-151,-38,-14243,366,-1343,-7978,16,-10,13,-161,40,966,43
1551531100,0x6737,-737,5725,4863,100389250,742,336,-558,-294,-542,508,1,1,1,3344,784,-2381,1924,14271,2433,7426,2,4,-7,740,332,-550,45
1551531100,0x6e36,0,0,0,100388750,344,96,-932,-217,-262,568,-175,-264,23,3690,267,-2811,1553,14642,-6929,1906,61,27,4,280,71,-937,42
